;03.15.01.0087-9;;;
Copiador de cartas particulares do Senhor Dom Frei Manuel da Cruz, Bispo do Maranhão e Mariana (1739-1762) (vol. 108);03.15.01.0102-6;;;
Corumbá: terra de lutas e de sonhos (vol. 77);03.15.01.0070-4;;;
Crédito e Spread: Custo da Intermediação Bancária - 9788570182821;03.14.11.0002-0;;;
;03.14.05.0004-1;;;
Crônica da missão dos padres da Companhia de Jesus no Estado do Maranhão (vol. 115) - 9788570182678;03.15.01.0108-5;;;
;03.14.03.0001-8;;;
Cultura e opulência do Brasil: por suas drogas e minas (vol. 160) - 9788570183781;03.15.01.0153-0;;;
Cultura quilombola na Lagoa da Pedra, Arraias-TO (vol. 146) - 9788570183422;03.15.01.0139-5;;;
;03.15.01.0071-2;;;
;03.15.01.0104-2;;;
;03.15.01.0247-2;;;
Defesa da poesia - 1ª edição (vol. 241) - 9788570188311;03.15.01.0274-0;;;
Delmiro Gouveia e a educação na Pedra (vol. 199);03.15.01.0190-5;;;
Deodoro: subsídios para a história (Coleção Biblioteca Básica Brasileira);03.15.01.0257-0;;;
Desenvolvimento e inclusão social - 9788570185709;03.14.04.0005-5;;;
;03.15.01.0282-0;;;
Diálogos das grandezas do Brasil (vol. 134) - 9788570182746;03.15.01.0127-1;;;
;03.15.01.0006-2;;;
Diário da minha viagem para Filadélfia: 1798-1799 (vol. 33);03.15.01.0228-6;;;
;03.15.01.0253-7;;;
Direitos Autorais – 4ª Edição - 9788570186362;03.14.04.0006-3;;;
Direitos Humanos - atos internacionais e normas correlatas - 9788570185327;03.14.12.0001-7;;;
;03.15.01.0195-6;;;
Diretrizes para Construção do Tesauro da Rede Virtual de Bibliotecas - RVBI;03.14.11.0060-8;;;
Documentos sigilosos: acesso e direito à informação - 9788570184436;03.14.12.0002-5;;;
Doença ocupacional - 9788570187338;03.14.08.0003-7;;;
;03.15.01.0012-7;;;
Dom Helder: o artesão da paz (vol. 120) - 9788570183880;03.15.01.0113-1;;;
Dom Pedro e Dom Miguel: a querela da sucessão (vol. 36);03.15.01.0031-3;;;
;03.15.01.0060-7;;;
Drogas - 9788570185686;03.14.05.0005-0;;;
;03.14.13.0012-7;;;
;03.14.11.0061-6;;;
Educação básica - 9788570187833;03.14.03.0002-6;;;
El Senado Federal en Preguntas y Respuestas - 9788570185082;03.14.10.0001-8;;;
Eleição e Representação (Coleção Biblioteca Básica Brasileira);03.15.01.0254-5;;;
Energia - Normas Gerais e Regulamentos;03.14.06.0010-0;;;
Ensaio corográfico sobre a província do Pará (vol. 30) - 9788570184030;03.15.01.0025-9;;;
Ensaios e estudos (vol. 9) - 9788570182647;03.15.01.0009-7;;;
;03.15.01.0010-0;;;
Escritos políticos: Cartas de Erasmo, A corte do Leão, A festa macarrônica (vol. 92) - 9788570183163;03.15.01.0085-2;;;
Estatuto da criança e do adolescente - 9788570188847;03.14.12.0019-0;;;
;03.14.12.0004-1;;;
Estatuto da Juventude: atos internacionais e normas correlatas - 9788570185204;03.14.12.0005-0;;;
Estatuto da Pessoa com Deficiência – 2ª edição - 9788570187666;03.14.04.0007-1;;;
Estatuto do Desarmamento - 2013 - 4ª Edição - 9788570185006;03.14.12.0006-8;;;
;03.14.12.0015-7;;;
Estatuto do Idoso - 9788570188267;03.14.04.0008-0;;;
;03.15.01.0115-8;;;
Estudos de Direito Sanitário: A produção normativa em saúde;03.14.12.0022-0;;;
Euclides da Cunha e a Política (vol. 170) - 9788570184146;03.15.01.0163-8;;;
Fábrica da Pedra (Conselho Editorial) - 9788570185198;03.15.01.0251-0;;;
Fastos da ditadura militar no Brasil (vol. 187) - 9788570184856;03.15.01.0180-8;;;
;03.15.01.0255-3;;;
Finalidade do mundo: estudos de filosofia e teleologia naturalista - TOMOS I, II, III (vol. 183);03.15.01.0176-0;;;
Formação constitucional do Brasil (vol. 225) - 9788570187321;03.15.01.0209-0;;;
Formação histórica da nacionalidade brasileira (vol. 158) - 9788570183934;03.15.01.0151-4;;;
Formação Histórica do Acre - Volumes I e II (vol. 109);03.15.01.0103-4;;;
Formação histórica do Brasil (vol. 118);03.15.01.0111-5;;;
Fragmentos de estudos da história da Assembleia Constituinte do Brasil (vol. 66);03.15.01.0059-3;;;
;03.15.01.0026-7;;;
Galeria dos Brasileiros Ilustres - Volumes I e II (Coleção Brasil 500 Anos);03.15.01.0219-7;;;
Garibaldi e a Guerra dos Farrapos (vol. 230) - 9788570187529;03.15.01.0214-6;;;
Gestão orçamentária pública - 9788570187956;03.14.02.0002-1;;;
;03.15.01.0136-0;;;
Governança pública 2ª ed. – 9788570188632;03.14.02.0003-0;;;
Grandes Vultos que Honraram o Senado – Abdias Nascimento - 9788570185372;03.14.11.0004-7;;;
;03.14.11.0045-4;;;
;03.14.11.0046-2;;;
Grandes Vultos que Honraram o Senado – Fábio Lucena - 9788570185143;03.14.11.0006-3;;;
Grandes Vultos que Honraram o Senado – Henrique de La Rocque - 9788570185037;03.14.11.0047-0;;;
Grandes Vultos que Honraram o Senado – Humberto Lucena;03.14.11.0007-1;;;
Grandes Vultos que Honraram o Senado – Petrônio Portella - 9788570183101;03.14.11.0008-0;;;
Grandes Vultos que Honraram o Senado – Pompeu de Souza;03.14.11.0009-8;;;
Grandes Vultos que Honraram o Senado – Teotônio Vilela;03.14.11.0010-1;;;
Guia de Fontes de Informação sobre o Senado Federal - 9788570184719;03.14.02.0011-0;;;
;03.14.11.0011-0;;;
Hannah Arendt e o declínio da esfera pública - 3ª edição (2014) - 9788570185334;03.15.01.0267-7;;;
;03.15.01.0171-9;;;
História da América portuguesa (vol. 157);03.15.01.0150-6;;;
;03.15.01.0020-8;;;
;03.15.01.0018-6;;;
História da civilização brasileira (vol. 188) - 9788570184863;03.15.01.0181-6;;;
História da conquista da Paraíba (vol. 73);03.15.01.0066-6;;;
História da Independência do Brasil (vol. 137) - 9788570182791;03.15.01.0130-1;;;
História da literatura ocidental (vol. 107) - 3ª ed - 9788570188212;03.15.01.0101-8;;;
História da missão dos padres capuchinhos na Ilha do Maranhão e terras circunvizinhas (vol. 105);03.15.01.0099-2;;;
;03.15.01.0261-8;;;
História diplomática do Brasil (vol. 224) - 9788570186966;03.15.01.0208-1;;;
;03.15.01.0124-7;;;
História do Brasil (João Armitage) (vol. 142) - 9788570183736;03.15.01.0135-2;;;
História do Brasil (Robert Southey) - Volumes I, II e III (vol. 133) - 9788570183132;03.15.01.0126-3;;;
História do Positivismo no Brasil (vol. 48);03.15.01.0043-7;;;
História do Rio Grande do Norte (vol. 167) - 9788570184115;03.15.01.0160-3;;;
História do Triângulo Mineiro (vol. 186);03.15.01.0179-4;;;
;03.15.01.0275-8;;;
História dos fundadores do Império do Brasil - Vol. II - TOMO I, II, II - A vida de D. Pedro (vol. 209) - 9788570186126;03.15.01.0276-6;;;
História dos fundadores do Império do Brasil - Vol. III - Bernardo Pereira de Vasconcelos (vol. 210);03.15.01.0277-4;;;
História dos fundadores do Império do Brasil - Vol. IV - Evaristo Ferreira da Veiga (vol. 211) - 9788570186164;03.15.01.0278-2;;;
História dos fundadores do Império do Brasil - Vol. V - Diogo Antônio Feijó (vol. 212) - 9788570186171;03.15.01.0279-0;;;
;03.15.01.0198-0;;;
História econômica do Brasil (vol. 34) - 9788570184061;03.15.01.0029-1;;;
;03.14.11.0063-2;;;
História interna do direito romano privado até Justiniano (vol. 106);03.15.01.0100-0;;;
História militar do Brasil (vol. 192) - 9788570184955;03.15.01.0184-0;;;
;03.15.01.0112-3;;;
Ideias e instituições no Império: influências francesas (vol. 136) - 9788570182784;03.15.01.0129-8;;;
Igualdade racial e étnica - 9788570187253;03.14.04.0009-8;;;
Imigrantes poloneses no Brasil de 1891 (vol. 139) - 9788570183088;03.15.01.0132-8;;;
Início e consolidação da pesquisa matemática no Brasil (vol. 98);03.15.01.0091-7;;;
Introdução à Análise Política (Edições Unilegis de Ciência Política);;;;
Introdução à Ciência Política (Edições Unilegis de Ciência Política);;;;
Invasão paraguaia na fronteira brasileira do Uruguai (vol. 177) - 9788570184405;03.15.01.0170-0;;;
Inventário de documentos históricos brasileiros (vol. 50);03.15.01.0045-3;;;
Inventário Nacional de Bens Imóveis e Sítios Urbanos Tombados (vol. 82);03.15.01.0075-5;;;
João Francisco Lisboa: o timon maranhense (vol. 182);03.15.01.0175-1;;;
João Goulart - Devolução Simbólica do Mandato Presidencial;03.14.11.0021-7;;;
;03.15.01.0259-6;;;
Jornada do Maranhão: por ordem de Sua Majestade feita o ano de 1614 (vol. 161) - 9788570183798;03.15.01.0154-9;;;
Jornal de Timon (vol. 28);03.15.01.0023-2;;;
LDB - 1ª ed. - 9788570187864;03.14.03.0003-4;;;
Legba: a guerra contra o Xangô em 1912 - papel couchê;;;;
Legba: a guerra contra o Xangô em 1912 - papel verge (vol. 207) - 9788570186614;03.15.01.0197-2;;;
Legislação pesqueira 2013 - 9788570185105;03.14.12.0008-4;;;
Lei de Responsabilidade Fiscal - 1 ed - 9788570188328;03.14.12.0009-2;;;
Lei n. 8.666/1993 - Licitações e contratos - 9788570188403;03.14.02.0006-4;;;
Licitações & Contratos - Orientações e Jurisprudência do TCU - 9788570183194;03.14.02.0008-0;;;
Licitações e contratos administrativos: teoria e jurisprudência – 9788570188663;03.14.02.0005-6;;;
;03.14.02.0005-6;;;
Licitações, contratos e convênios públicos - 9788570188403;03.14.02.0007-2;;;
;03.15.01.0235-9;;;
Luiz Viana Filho - O Jornalista;03.14.11.0050-0;;;
;03.15.01.0216-2;;;
;03.15.01.0061-5;;;
;03.14.12.0010-6;;;
Manual de Organização de Eventos do Senado Federal - 9788570184894;03.14.11.0023-3;;;
Marketing social: aplicações e métricas no setor público - 9788570186867;03.14.11.0012-8;;;
Memória sobre a viagem do porto de Santos à cidade de Cuiabá (vol. 69);03.15.01.0062-3;;;
Memórias d’o Tico-Tico: Juquinha, Giby e Miss Shocking (vol. 123);03.15.01.0116-6;;;
Memórias da Rua do Ouvidor (vol. 41);03.15.01.0036-4;;;
Memórias do meu tempo (vol. 3);03.15.01.0003-8;;;
Memórias do Senado (Conselho Editorial);03.14.11.0022-5;;;
Memórias para a história da capitania de São Vicente (vol. 129) - 9788570182777;03.15.01.0122-0;;;
Memórias para servir à história do reino do Brasil (vol. 180) - 9788570184542;03.15.01.0173-5;;;
Memórias secretas de Carlota Joaquina (vol. 130) - 9788570182715;03.15.01.0123-9;;;
Mercosul: Legislação e Textos Básicos;03.14.12.0020-3;;;
Meu caminho para Brasília - A, B e C (vol. 201) - 9788570185433;03.15.01.0192-1;;;
Mídia das fontes – um novo ator no cenário jornalístico brasileiro;03.14.11.0013-6;;;
Minha Formação (Coleção Biblioteca Básica Brasileira);03.15.01.0262-6;;;
Missão Rondon: apontamentos sobre os trabalhos realizados pela Comissão de Linhas Telegráficas Estratégicas de Mato Grosso ao Amazonas, sob a direção do Coronel de Engenharia Cândido Mariano da Silva Rondon, de 1907 a 1915 (vol. 8) - 9788570183835;03.15.01.0008-9;;;
Mulher - 9788570186553;03.14.04.0011-0;;;
;03.15.01.0019-4;;;
Na Planície Amazônica (Coleção Brasil 500 Anos);03.15.01.0249-9;;;
Narrativa da perseguição (vol. 125);03.15.01.0118-2;;;
Narrativa de serviços no libertar-se o Brasil da dominação portuguesa (vol. 16);03.15.01.0015-1;;;
Nas selvas do Brasil (vol. 141) - 9788570183095;03.15.01.0134-4;;;
Naus no Brasil Colônia (vol. 88);03.15.01.0081-0;;;
Ney Braga, política e modernidade (vol. 96);03.15.01.0089-5;;;
No Brasil, do rio São Francisco ao Amazonas (vol. 71);03.15.01.0064-0;;;
Norte do Brasil: através do Amazonas, do Pará e do Maranhão (vol. 159) - 9788570183774;03.15.01.0152-2;;;
Nos Estados Unidos: impressões políticas e sociais (vol. 121);03.15.01.0114-0;;;
;03.15.01.0024-0;;;
Notas sobre as casas de fazenda dos Inhamuns (vol. 185);03.15.01.0178-6;;;
;03.15.01.0007-0;;;
O ano da Independência (vol. 138) - 9788570182753;03.15.01.0131-0;;;
O Barão do Rio Branco (vol. 191) - 9788570184948;03.15.01.0183-2;;;
O Brasil holandês sob o conde João Maurício de Nassau (vol. 43);03.15.01.0038-0;;;
O Brasil no pensamento brasileiro (vol. 55) - 9788570183675;03.15.01.0049-6;;;
;03.15.01.0252-9;;;
O cavalo: grandeza e legado - a família equídea e o que ela inspirou (vol. 163) - 9788570183941;03.15.01.0156-5;;;
O Discurso Autoritário de Cairu (Coleção Brasil 500 Anos);03.15.01.0248-0;;;
;03.15.01.0004-6;;;
O Estado Nacional (Coleção Biblioteca Básica Brasileira);03.15.01.0264-2;;;
O Estado Independente do Acre e J. Plácido de Castro: excertos históricos (vol. 56);03.15.01.0050-0;;;
;03.14.11.0029-2;;;
O guarani (vol. 235) - 9788570188076;03.15.01.0215-4;;;
O Legislativo Brasileiro: funcionamento, composição e opinião pública - 9788570183965;03.14.10.0003-4;;;
O massacre de Alto Alegre (vol. 215);03.15.01.0201-4;;;
O meio circulante no Brasil: a moeda fiduciária no Brasil de 1771 a 1900 (Parte III) (vol. 60);03.15.01.0053-4;;;
O meu dicionário de cousas da Amazônia (vol. 175) - 9788570184412;03.15.01.0168-9;;;
O moderno Príncipe: Maquiavel revisitado (vol. 147);03.15.01.0140-9;;;
;03.15.01.0047-0;;;
O Nordeste brasileiro (vol. 237) - 9788570187819;03.15.01.0217-0;;;
O Oiapoque e o Amazonas (Vol. 193) - 9788570187789;03.15.01.0185-9;;;
O presidente Campos Sales na Europa (vol. 40);03.15.01.0035-6;;;
O Quilombo de Frechal (vol. 81) - 9788570182616;03.15.01.0074-7;;;
;03.14.11.0058-6;;;
O rei dos jagunços (vol. 179) - 9788570184382;03.15.01.0172-7;;;
O Rio de Janeiro como é (1824-1826) (vol. 154) - 9788570183514;03.15.01.0147-6;;;
;03.15.01.0283-9;;;
O Rio de Janeiro do meu tempo (vol. 1);03.15.01.0001-1;;;
;03.15.01.0119-0;;;
O Senado Federal em Perguntas e Respostas;03.14.11.0055-1;;;
;03.14.11.0056-0;;;
;03.14.11.0067-5;;;
O Senado nas Constituições brasileiras - 9788570185365;03.14.01.0007-8;;;
O senhor da Pedra: produções e usos das memórias sobre Delmiro Gouveia (1940-1980) (vol. 229) - 9788570187482;03.15.01.0213-8;;;
O Supremo Tribunal Federal e as Comissões Parlamentares de Inquérito;03.14.11.0051-9;;;
O Tenente-General Napione - 9788590431046;03.14.11.0054-3;;;
;03.15.01.0125-5;;;
